
ID_FICHAJE ID_EMPLEADO FECHA    TOTAL_HORAS
---------- ----------- -------- -----------
        61           1 17/06/19           7
        62           1 18/06/19           7
        63           1 19/06/19           7
        64           1 20/06/19           7
        65           1 21/06/19           7
        66           2 17/06/19           8
        67           2 18/06/19           7
        68           2 19/06/19           8
        69           2 20/06/19           7
        70           2 21/06/19           8
        71           3 17/06/19           7

ID_FICHAJE ID_EMPLEADO FECHA    TOTAL_HORAS
---------- ----------- -------- -----------
        72           3 18/06/19           6
        73           3 19/06/19           6
        74           3 20/06/19           6
        75           3 21/06/19           7
        76           4 17/06/19           8
        77           4 18/06/19           7
        78           4 19/06/19           6
        79           4 20/06/19           8
        80           4 21/06/19           7

20 filas seleccionadas. 

